Gene Symbol	Full Name of Mutant Gene Symbol	Date	Reference Lab
RSH	Root, Shoot, Hypocotyl Defective	7/00	Cannon
RSR	Reduced sugar response	6/98	Frommer
RST	Resurrection (Vegetative abnormalities; early seedling necrotic)	6/01	Jenks
RSW	Radially swollen root	YB	Williamson
RSY	Raspberry (Embryo defective)	3/02	Goldberg
RTE	Reversion to ethylene sensitivity (suppressor etr1-2)	3/02	Chang
RTG	Raring to go (premature pollen germin.)	8/98	McCormick
RTM	Restricted TEV movement	3/98	Carrington
RTN	Reduced trichome number	4/95	Marks
RTS	Retsina (abnormal trichomes)	YB	Jurgens, Hulskamp
RTY	Rooty	M95	Olszewski
RUG	Rugosa (wrinkled leaf lamina)	1/99	Micol
RUK	Runkel (seedling lethal)	10/98	Juergens, Mayer
RXA	Resistant to Xanthomonas campestris pv. amoraciae race	YB	Lazo
RXC	Reaction to Xanthomonas campestris	YB	Buell, S. Somerville
SAB	Sabre (root defective)	YB	Benfey
SAD	Salt (NaCl) addiction	YB	Lehle, Kahn
SAG	Sagittatus (heart shaped leaves)	4/98	Ezhova
SAI	Salicyclic acid insensitive	N96	Klessig
SAM	Shoot apical meristem defective	-/94	Barton
SAN	Salobreno (salt resistant germination)	1/99	Micol
SAP	Sterile apetala	M95	Byzova, Angenent
SAR	Suppressor of auxin resistance	YB	Estelle
SAS	Sodium super-accumulation in shoot	5/97	Berthomieu
SAT	Serine-glyoxylate aminotrasferase def.	YB	Somerville, Ogren
SAX	Hypersensitive to ABA, auxin	9/97	Barbier-Brygoo
SBR	Short blue (Dc3-GUS overexpressing) root	3/98	Rock
SCA	Scabra (rounded, protruding leaf lamina)	1/99	Micol
SCB	Small cajal body	< 6/02	Shaw
SCD	Stomatal Cytokinesis Defective	11/01	Bednarek
SCF	Scarface (leaf/cotyl. venation defect)	M97	Sieburth
SCH	Starch accumulating root	YB	Sung
SCL	Scarecrow like (genes)	11/97	Benfey
SCM	Scrambled (Altered root epidermal cell development)	4/01	Schiefelbein
SCN	Supercentipede (short, wide root hairs, some branched)	6/00	Grierson
SCO	Scoop (ovule defective)	12/95	Gasser
SCP	Side car pollen	6/95	Chen, McCormick
SCR	Scarecrow (root defective)	3/94	DiLaurenzio, Benfey
SDD	Stomatal density, distribution	M97	Altmann
SDE	Silencing defective	2/00	Baulcombe
SDG	SET domain group (Inhibition by silencing)	5/02	Jorgensen
SDR	Sulfadiazine resistant	YB	Mourad, King
SDS	Solo dancers	< 6/02	Ma
SE	Serrate	2/96	Redei, Meeks Wagner
SEA	Serrata - Small leaves with serrated margins	1/99	Micol
SEC	Secret Agent (Gene function similar to SPY; Double mutant is lethal)	10/01	Olszewski
SEL	Selenate resistant	M97	Rose
SEM	Semisterile	8/97	Drews
SEN	Early Senescence	1/01	Springer
SEP	Sepallata (multiple sepals)	2/00	Yanofsky
SER	Serrated leaf	YB	Feldmann
SERK	Somatic embryogenesis receptor kinase	< 6/02	de Vries
SES	Sucrose effect on stress	2/99	Serrano
SET	Suppressor of ein3	5/98	Ecker
SEU	Seuss (disorganized flower; semidwarf)	10/00	Z. Liu
SEX	Starch excess (replaces SOP)	YB	Caspar
SFC	Scarface (Vein pattern defective)	12/01	Sieburth
SFR	Sensitive to freezing	8/94	Warren
SFT	Suppressor of FT	M97	Araki
SG	Sterol Glucosyltransferase Defective	1/02	Scheible
SGA	Silencing group A (Inhibition by silencing)	5/02	Jorgensen
SGB	Silencing group B (Inhibition by silencing)	5/02	Jorgensen
SGF	Silencing group F (Inhibition by silencing)	5/02	Jorgensen
SGR	Reduced gravitropic response	1/96	Fukaki
SGS	Suppressor of gene silencing	M97	Vaucheret
SGT	Suppressor of G2 allele of skp1 (disease resistance defective)	1/02	Parker, Shirasu
SHA	Shabondama (guard cell defective)	7/98	Nakagawa
SHD	Shepherd (multiple meristematic defects)	8/00	Okada
SHE	Female gametophyte embryo lethal	6/99	Robert Fischer
SHI	Short internodes	3/97	Sundberg
SHL	Seedlings hyper-responsive to light (Former SHL = STM; K. Barton)	5/01	Pepper
SHM	Serine hydroxymethyltransferase - gene only	4/99	McClung
SHP	Shatterproof	3/99	Yanofsky
SHQ	Activation tagged suppressor of phyB with increased biomass	7/01	Neff
SHR	* Short root(Benfey) AND Short tap and lateral root (Sung)	YB	Benfey / Sung
SHS	Suppressor of FAB	3/95	Lightner, Browse
SHT	Short tap, long lateral root	YB	Sung
SHV	Shaven (very short root hairs)	6/00	Grierson
SHY	Short hypocotyl (suppressor of HY)	M95	Chory, Nam
SHZ	Schizoid (vegetative shoot apex)	YB	Medford
SIC	Sunburns in cold	11/01	Jian-Kang Zhu
SID	Salicylic acid induction deficient	6/96	Nawrath, Metraux
SIG	Sucrose insensitive growth	2/98	Smeekens
SIL	Altered transgene silencing	2/98	Furner
SIM	Siamese; clustered, multicellular trichomes	4/99	Larkin
SIN	* Short integuments (Pruitt, Gasser) AND Sinapic acid biosynthesis (now FAH) (Chapple, Somerville)	YB	Pruitt, Gasser / Chapple, Somerville
SIR	Silencing Repressor	12/01	Zhu
SIS	Sugar  insensitive	YB	Gibson, Somerville
SKA	Sidekick of Clavata (enhancer of clavata)	6/00	Meyerowitz
SKL	Skp-like (see also ASK)	12/97	Ma
SKO	Defect in SKOR K+ Channel	4/00	Sentenac, Thibaud
SKS	SKU5 Similar (root growth orientation defective)	6/00	Somerville
SKU	Skewed root growth on agar	3/95	Masson
SLE	Sleepless embryo (reduced dormancy)	6/98	Koornneef
SLK	Seuss-like (Phenotype similar to seuss floral mutant)	10/01	Fischer
SLO	Slowcoach (altered circadian period)	2/00	Carre
SLR	Solitary root	5/98	Tasaka
SLS	Suppress Late-flowering phenotype under Short-day	6/99	Naoto Yabe
SLY	Sleepy (GA-insensitive suppressor of ABI1-1	12/97	McCourt
SMA	Symptoms to multiple avirulence genotypes	8/95	Innes
SMB	Sombrero (Extra lateral root cap layers)	1/01	Scheres
SMD	Sporophyte, megagametogenesis defect	M95	Schneitz
SMT	Sterol Methyl Transferase	6/99	Sundaresan
SNC	Suppressor of NPR1 constitutve	4/98	Dong
SNE	Curled trichomes, short root hairs	YB	Marks
SNF	Snuffleupagus (female sterile)	1/98	Gasser
SNG	Sinapoylglucose accumulator	5/96	Chapple
SNI	Suppressor of NPR1 inducible	4/98	Dong
SNK	Snake charmer (suppressor of cobra)	7/00	Benfey
SNO	Snowball (floral defective)	YB	Williams, Meyerowitz
SNS	Spontaneous necrotic spots	3/97	van der Graaff
SNV	Supernova (overexpression of CAB2:Luc)	1/96	Strayer, Kay
SOB	Activation-tagged suppressors of phyB	7/01	Neff
SOC	Suppressor of over-expression of CO	12/99	Coupland
SOG	Supressor of Gamma	3/99	Britt
SOL	Solo (uninuclear pollen)	6/96	Twell, Howden
SOM	Somniferous (epigenetic silencing def.)	M97	Paszkowski
SON	Suppressor of NIM	9/96	Delaney
SOP	Discontinued (now SEX1)	-	Caspar
SOR	Suppressor of rps2	7/97	Kunkel
SOS	Salt overly sensitive	9/96	Jian-Kang Zhu
SOT	Suppressor of TRP2	YB	Mahoney, Fink
SOZ	Sensitive to ozone	9/95	Conklin, Last
SP	Suppressor of ppi1	3/99	Jarvis
SP1L	Spiral 1 like	< 6/02	Hashimoto
SPA	Suppressor of PHYA-105	4/98	Quail
SPD	Seedling plastid development	12/99	Hangarter
SPE	Spermine/spermidine deficient	YB	Malmberg
SPI	Spirrig (abnormal trichomes)	YB	Jurgens, Hulskamp
SPIK	Shaker family K+ channel	< 6/02	Sentenac
SPIKE	Spike (Reduced trichome branching)	< 6/02	Szymanski
SPK	Spock (early flowering)	7/99	Martinez-Zapater
SPL	Sporocyteless (sterile)	3/98	Sundaresan
SPM	Resistant to spermine	6/95	Mirza
SPN	Spoon (embryo defective)	M95	Berleth
SPP	Tightly clustered inflorescence	9/95	Goto
SPR	* Spermine resistant (Mirza) AND Spiral (Hashimoto)	8/95	Mirza / Hashimoto
SPS	Supershoot (increased axillary inflorescences)	11/99	Sundaresan Venkatesan
SPT	Spatula (floral defective)	YB	Smyth
SPY	Spindly (altered GA transduction)	YB	Olszewski
SQD	Sulfolipid (sulfoquinovosyl diacylglycerol) deficient	10/96	Benning
SQN	Squint	3/99	Poethig
SRB	Shoot and root branching	6/98	Leyser
SRD	Shoot redifferentiation defective	-	Sugiyama
SRH	Short root hairs	3/97	van der Graaff
SRL	Short hypocotyl in red light	2/00	Quail
SRR	Sensitivity to red light reduced	6/00	Fankhauser
SSA	Super-sensitive to auxin	2/98	Reed, Krall
SSE	Shrunken seed	8/98	Goodman
SSI	Suppressor of salicyclic acid insensitive	5/98	Klessig
SSM	Short stem and midrib	< 6/02	Takahashi
SSN	Suppressor of sni1	6/02	Dong
SSR	Small subunit ribosomal protein	5/96	Tsugeki, Fedoroff
SSS	Sucrose super sensitive	2/98	Smeekens
SST	Stomatal signal transduction	-/94	Kearns
STA	Stachel (abnormal trichomes)	YB	Jurgens, Hulskamp
STARIK	Starik (Chlorotic dwarf)	< 6/02	Van Montagu
STB	Stubby (semidwarf)	6/98	
STD	Stud (PMC cytokinesis defective)	2/97	Pruitt
STE	Ovule defective	M95	Gasser
STF	Starch free	-	Caspar
STI	Stichel (unbranced trichomes)	YB	Jurgens, Hulskamp
STK	Seed stick (defective in seed dispersal)	10/00	Yanofsky
STM	* Serine transhydroxymethylase deficient (Somerville, Ogren) AND Shoot meristemless (Barton)	YB	Somerville, Ogren
STP	Stunted plant	YB	Williamson
STR	Stunted root	YB	Sung
STS	Short stamen	5/98	Meyerowitz
STU	Stumpy	8/94	Kuhn
STY	Stylish (Aberrant style and stigman development)	6/02	Sundberg
SU	Suppressor of CHL4	YB	Braaksma, Feenstra
SUB	Strubbelig (ovule defective)	N96	Pruitt
SUC	Sucrose transporter	< 6/02	Sussman
SUD	Suppression of Ubiquitin ubR48-induced cell death	4/01	Bachmair
SUF	Suppressor of fruitful	7/00	Yanofsky
SUH	Super hydrotropic (root defective)	10/00	Cassab
SUL	Sulfurata	YB	Redei
SUN	Sucrose uncoupled	7/96	Smeekens
SUP	Superman (floral defective)	YB	Bowman, Meyerowitz
SUR	Super root	YB	Boerjan, Inze, Bellini, Caboche
SUS	Abnormal suspensor	11/93	Schwartz, Meinke
SUZ	Suppressor of zwichel trichomes	M97	Oppenheimer
SVI	Suppressor of cprV nprI	6/02	Dong
SVN	Spontaneous vessel necrosis	6/98	Roby
SVP	Short vegetative phase (early flowering)	12/99	Huijser
SWI	Switch (female meiosis defective)	6/98	Horlow
SYD	Splayed (floral bud arrangement)	3/98	Wagner, Meyerowitz
SYN	Meiotic synaptic defective	8/96	Peirson
TAE	Taeniata (narrow ribbon leaves)	-	Yanushkevich
TAG	Triacylglycerol biosynthesis defect	11/94	Kunst
TAL	Tail; root defective	3/99	Juergens, Mayer
TAM	Tardy Meiosis (Slow, asynchronous male meiosis, formerly DYP)	12/00	McCormick
TAO	Target of AvrB Operation	5/99	Dangl
TAR	Tarantula (vegetative, floral defects)	M97	Meyerowitz
TAX	Trichome anthocyanin expansion	6/98	Marks
TBR	Trichome birefringence	YB	Delmer
TBT	Tablut (Root patterning defective)	< 6/02	Dolan
TCI	Slender peaked petal	9/95	Goto
TCU	Transcurvata (rolled leaf margins)	1/96	Micol
TDM	Meiosis defective (three division meiosis I)	3/97	Vizir
TDS	Tannin Deficient Seed	12/01	Ashton, Abrahams
TED	Suppressor of DET	YB	Chory
TES	Tetraspore (microsporocyte cytokinesis defective)	9/96	Preuss, Dickinson
TEX	TCH Expression	6/02	Braam
TFA	Things fall apart (ectopic cell separation)	M97	Bleecker
TFL	Terminal flower	YB	Meeks Wagner, Smyth
TH	Thiamine requiring	YB	Li, Redei, Koornneef
THD	Thunderhead	9/96	Pruitt, Lolle
THH	TOM Three Homolog	4/01	Ishikawa
TIC	Circadian timing defective	YB	Millar, Kay, Chua
TIL	Tilted (Misplacement of embryonic apical-basal axis)	6/01	Barton
TIN	Tinman (embryo defective)	YB	Harada
TIP	Tip growth defective	YB	Schiefelbein
TIR	Transport inhibitor response	YB	Estelle
TIS	Auxin transport inhibitor hypersens.	YB	Estelle
TLL	Translucent Leaf	2/01	Jian-Kang Zhu
TLM	Timing of leaf movements	9/97	Carre
TMM	Too many mouths (stomata)	YB	Sack
TNP	Turnip (Altered hypocotyl cell differentiation)	< 6/02	Lindsey
TNY	Tiny	9/95	Coupland
TOC	Timing of CAB1	YB	Millar, Kay, Chua
TOL	Altered tolerance to black rot	9/95	Buell
TOM	Tobamovirus multiplication	YB	Ishikawa, Naito
TON	Tonneau (preprophase band defective)	7/95	Traas, Caboche
TOP	Tower of Pisa (defective style)	9/99	Yanofsky
TOR	Tortifolia (twisted petioles)	YB	Robbelen, Schaeffner
TOS	Constitutive response to osmotic stress	9/96	Jian-Kang Zhu
TOT	Trio targets (floral organ number)	3/00	Meyerowitz
TOZ	Tormoz (Early embryo lethal)	4/01	Griffith (Singapore)
TPL	Topless (SAM defective)	M97	Barton
TPR	Topless Related (Embryonic polarity disrupted)	1/01	Meyerowitz
TPS	TRANSIT PEPTIDE SUPPRESSOR	6/99	Paul Jarvis
TPT	Triose phosphate / phosphate translocator defective	1/02	Horton
TRH	Tiny root hair	< 6/02	Grabov
TRL	Troll (root defective)	YB	Scheres
TRN	Tornado (twisted dwarf)	YB	Cnops, van Lijsebettens
TRP	Tryptophan auxotroph	YB	Last, Fink
TRY	Triptychon (clustered trichomes)	YB	Jurgens, Hulskamp
TSD	Tumorous shoot development	6/98	Schmulling
TSF	Twin sister of FT - gene only	5/99	Weigel/Araki
TSK	Tonsoku (Shoot fasciation; reduced root growth)	6/02	Morikami
TSL	Tousled (floral defective)	YB	Roe, Zambryski
TSO	Tso (floral defective)	YB	Liu, Meyerowitz
TT	Transparent testa	YB	Koornneef
TTG	Transparent testa, glabrous	YB	Koornneef
TTM	Tom two mutation modifier 1	8/97	Ishikawa
TTN	Titan (embryo defective)	5/96	Meinke
TTR	Tolerance to tobacco ringspot virus	7/95	Hartman
TUF	Tuff; cytokinesis defective	3/99	Juergens, Mayer
TUG	Tumorous growth	M95	Rhee, Somerville
TUP	Tumor prone	7/02	Schmulling
TWD	Twisted dwarf	YB	Feldmann
TWN	Twin embryos	YB	Vernon, Meinke
TWS	Twisted seed	6/02	Lepiniec
TXR	Thaxtomin Resistant (Phytotoxin from Streptomyces)	4/02	W. Scheible, R. Loria, C. Somerville
TYA	Tistrya (female gametophytic lethal)	2/98	Grossniklaus
TZ	Thiazole requiring	YB	Redei, Feenstra
UCN	Unicorn (ovule defective)	6/96	Pruitt, Schneitz
UCU	Ultracurvata (leaves curved at midrib)	1/96	Micol
UDS	Underdeveloped shoot	3/97	van der Graaff
UFO	Unusual floral organs	YB	Haughn, Meyerowitz
ULA	Hula (enhancer of wonderwoman)	1/00	Weigel
ULI	UV light hypersensitive	11/00	Frohnmeyer
ULT	Ultrapetala	1/00	Fletcher
UNS	Unusual sugar response; late flowering	12/98	Ohto
UPS	Underinducer pathogen and stress	2/98	Last
URO	Upright rosette (Altered leaf morphology)	< 6/02	Huang
UVH	Ultraviolet hypersensitive	YB	Mount
UVR	UV repair defective	YB	Britt, Mitchell
UVS	Ultraviolet light hypersensitive	3/97	Chatterjee
VAL	Valine resistant	7/95	King
VAM	Variable meristem	6/98	Clark
VAN	Vaamana (Dwarf in Ler background)	4/02	Bhatt
VAR	Variegated	YB	Martinez Zapater
VAS	Vascular size	9/98	van der Graaff
VCH	Vertically challenged (cell elongation)	9/97	Lindsey
VCL	Vacuoless (Formerly MAN); Embryo defective	2/01	Somerville/Raikhel
VCS	Varicose (ectopic tracheary elements in leaves)	M97	Sieburth
VEF	VEF family (Inhibition by silencing)	5/02	Jorgensen
VEN	Venosa (yellow leaves, green veins)	1/96	Micol
VEP	Vein patterning	< 6/02	Nam
VHI	Vascular highway (leaf vascular patterning and cell proliferation altered)	4/01	Nelson
VHS	Verticillium hypersensitive	< 6/02	Bressan
VI	Viridis (dark green, round leaves)	YB	Redei
VICI	Virus-induced corymb-like infloresc.	N96	Citovsky
VID	Virus induced dwarf	4/98	Citovsky
VIP	Discontinued (now CAF)	3/95	Jacobsen, Meyerowitz
VIR	Virescent	M95	Tobin
VPL	Vascular prepattern-like	5/02	Springer
VPP	Vascular Prepattern (Gene expression pattern; not a mutant)	4/01	Springer
VR	Virescens	YB	Redei
VRN	Reduced vernalization response	YB	Dean
VSM	Viral systemic movement	N96	Citovsky
VTC	Vitamin C (ascorbate) defective	6/97	Conklin, Last
WAM	Discontinued (now STM)	2/94	Morris
WAV	Wavy roots	YB	Okada
WAX	Wax defective in leaves	1/95	Feldmann
WCO	White cotyledons	7/97	Yamamoto
WDY	Woody (tracheary elements in cots)	M97	Sieburth
WEI	Weak ethylene insensitive	5/00	Ecker
WEN	Wendell (floral defective)	YB	Williams, Meyerowitz
WER	Werewolf (excessive root hairs)	3/98	Schiefelbein
WEX	Confidential	4/02	Levin
WHG	Warthog (tracheary elements around leaf margins)	M97	Sieburth
WIG	Wiggum (increased floral organ number)	M97	Meyerowitz
WLC	Wavy leaves, cotyledons curled back	YB	Dean
WLG	Wawalag, partial female sterile	9/98	Grossniklaus
WOL	Wooden leg (root defective)	M95	Benfey
WOW	Wonderwoman (stubby carpels)	5/99	Weigel
WRG	Warg (root defective)	YB	Scheres
WRI	Wrinkled seed	M95	Benning
WRM	Wurm (abnormal trichomes)	YB	Jurgens, Hulskamp
WUS	Wuschel (shoot meristem defective)	N96	Laux
WVC	Root defective	M95	Masson
WVD	Altered root waves on tilted agar	M97	Masson
WVS	Wavy sepal	12/96	Kakutani
WZL	Wurzellos (embryo, hypocotyl)	M95	Berleth
XAV	Xantha variegation (pigment)	YB	Mednik, Usmanov
XCL	Extra cyclin levels (overexpress cyclin-GUS fusion	6/97	Celenza
XPB	XPB/RAD25 knockout	< 6/02	Menck
XRS	Hypersensitive to X-irradiation	M97	Paszkowski
XTC	Extra cotyledon (leaf morphology)	YB	Conway, Poethig
XV	Xantha-viridis (yellow cotyledons and leaf margins)	YB	Redei
YAK	Yakka (disrupted inflorescence)	-/94	Smyth
YDA	Yoda (embryo defective)	5/98	Somerville
YI	Yellow inflorescence	YB	Koornneef
YOR	Yosemite resistance	-/96	Morris, Schaeffner
YOZ	Yozhik (leaf expansion defective)	10/99	Weigel
YSV	You're so vein (Defective leaf vascular pattern)	5/02	Sieburth
YUC	Yucca (long hypocotyl and internodes)	10/99	Weigel, Chory
YVE	Yellow veins	4/98	Tsukaya
ZAL	Zaltys, partial female sterile	9/98	Grossniklaus
ZIG	Zig zag stem	7/96	Tasaka
ZIP	zig Suppressor	8/01	Tasaka
ZLL	Zwille (shootless)	YB	Jurgens
ZTL	Zeitlupe (altered circadian period)	2/00	Somers, Kay
ZWI	Zwichel (abnormal trichomes)	YB	Jurgens, Hulskamp
